Review_index,Review_sentence,Review_affordance,-,Rebuttal_index,Rebuttal_sentence,Related_to,Relation
V0,b'Summary :',,,B0,"b'Thank you for your review , especially the comments regarding the clarity of the method description and experimental setting , which are helping us to revise the text to depend less on familiarity with meta-learning approaches and few - shot learning setups .'",Thanks,
V1,,,,B1,"b'In the meantime we offer clarifications here , and in particular address the problem setting , architecture and optimization novelty , and experimental comparisons .'",summary,
V2,b'This paper proposed a few - shot learning approach for interactive segmentation .',,,B2,b'We will make a follow - up post once the revision is uploaded .',Planning,
V3,"b'Given a set of user- annotated points , the proposed model learns to generate dense segmentation masks of objects .'",,,B3,"b""Please let us know if the method and experiments are now clear , and how these details impact your evaluation of the submission 's originality , significance , and experiments .""",Follow up,
V4,"b'To incorporate the point- wise annotation , the guidance network is introduced .'",,,B4,,,
V5,"b'The proposed idea is applied to guided image segmentation , semantic segmentation , and video segmentation .'",,,B5,,,
V6,,,,B6,b'>',,
V7,,,,B7,b'This paper proposed a few - shot learning approach for interactive segmentation',summary,
V8,b'Clarity :',,,B8,,,
V9,,,,B9,,,
V10,"b'Overall , the presentation of the paper can be significantly improved .'",,,B10,b'We would like to clarify that our work is an extension of interactive segmentation .',,
V11,"b'First of all , it is not clear what the problem setting of this paper is , as it seems to have two sets of training data of fully - annotated images ( for training ) and the combined set of point - wise annotated images and unannotated images ( guidance images T in the first equation ) ;'",,,B11,"b'Our meta-learning learning approach , guided segmentation , generalizes the usual problem statement of interactive segmentation .'",,
V12,"b'It is not clear whether authors generate the second dataset out of the first one , or they have separate datasets for these two .'",,,B12,"b'Given an image with partial annotations , an interactive segmentor fully segments that image , but it cannot segment a new image without any annotations .'",,
V13,"b'Also , it is not clear how the authors incorporate the unannotated images for training .'",,,B13,"b'That is , for an interactive segmentor , annotations on one image do not inform the segmentation of another image .'",,
V14,,,,B14,"b'On the other hand , our guided segmentor extracts a latent representation of the pixel - wise annotations and conditions on it to inform the segmentation of all images , and additional annotations on any image affect the segmentation of all of them .'",,
V15,,,,B15,,,
V16,"b'The descriptions on model architecture are also not quite clear , as it involves two components ( g and f ) but start discussing with g without providing a clear overview of the combined model ( I would suggest changing the order of Section 4.1 and Section 4.2 to make it clearer ) .'",,,B16,,,
V17,"b'The loss functions are introduced in the last part of the method , which makes it also very difficult to understand .'",,,B17,b'>',,
V18,,,,B18,b'I do not see many novel contributions in terms of both network architecture and learning perspective .',Quote,
V19,,,,B19,,,
V20,b'Originality and significance :',,,B20,,,
V21,,,,B21,,,
